Image	日時1	整点1	半点1	日時2	整点2	半点2	日時3	整点3	半点3
オリジナルデータ（177）_Page_001.jpg	20130401	306	350	20130404	1686	1841	20130508	552	564
オリジナルデータ（177）_Page_001.jpg	20130401	441	461	20130404	1878	1776	20130508	1476	1776
オリジナルデータ（177）_Page_001.jpg	20130401	474	449	20130404	1992	2057	20130508	1917	2058
オリジナルデータ（177）_Page_001.jpg	20130401	450	456	20130404	2058	2046	20130508	2060	2069
オリジナルデータ（177）_Page_001.jpg	20130401	461	432	20130404	2057	2069	20130508	2050	2065
オリジナルデータ（177）_Page_001.jpg	20130401	402	408	20130404	2070	2077	20130508	2082	2081
オリジナルデータ（177）_Page_001.jpg	20130401	413	408	20130404	2116	2088	20130508	2076	2112
オリジナルデータ（177）_Page_001.jpg	20130401	396	396	20130404	2022	1877	20130508	2040	1902
オリジナルデータ（177）_Page_001.jpg	20130401	378	456	20130404	1710	1692	20130508	1721	1812
